Venue Name,City,State,Capacity,Age Restrictions,Region,Venue Type,Genres (top 3),Image,Website,Source(s),Venue ID,Confidence
Green River Community College,Auburn,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fgreen-river-community-college-tickets-auburn%2Fvenue%2F122949&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA116tA,80
Lindbloom Student Center,Auburn,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Flindbloom-student-center-tickets-auburn%2Fvenue%2F122965&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA116lA,80
Muckleshoot Casino,Auburn,WA,,,West,Venue,,,https://www.muckleshootcasino.com/,WikidataSPARQL,wd-Q105035529,90
Muckleshoot Casino Events Center,Auburn,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fmuckleshoot-casino-events-center-tickets-auburn%2Fvenue%2F123987&utm_medium=affiliate,Ticketmaster,tmv-KovZ917AJEj,80
Muckleshoot Events Center,Auburn,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZa7xz,75
Regal Auburn 17,Auburn,WA,,,West,Venue,,,http://www.regalcinemas.com,WikidataSPARQL,wd-Q43305563,90
Smoke & Cedar at Muckleshoot Casino Resort,Auburn,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fsmoke-cedar-at-muckleshoot-casino-resort-tickets-auburn%2Fvenue%2F124066&utm_medium=affiliate,Ticketmaster,tmv-KovZ917ARTk,80
The Outlet Collection Seattle,Auburn,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZaAkR,75
Valley 6 Drive-In,Auburn,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305455,85
White River Amp,Auburn,WA,,,West,Venue,,,,Ticketmaster,tmv-Za5ju3rKuqZDei-eRAIZsuDzO6qZlCXTK5,75
White River Amphitheatre,Auburn,WA,,,West,Amphitheatre,,https://s1.ticketm.net/dbimages/24364v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fwhite-river-amphitheatre-tickets-auburn%2Fvenue%2F123493&utm_medium=affiliate,Ticketmaster;WikidataSPARQL,tmv-KovZpZAEkd1A,90
White River Amphitheatre-Lawn Chair,Auburn,WA,,,West,Amphitheatre,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fwhite-river-amphitheatrelawn-chair-tickets-auburn%2Fvenue%2F123929&utm_medium=affiliate,Ticketmaster,tmv-KovZ917A-Jn,80
