Venue Name,City,State,Capacity,Age Restrictions,Region,Venue Type,Genres (top 3),Image,Website,Source(s),Venue ID,Confidence
Hi-Land Drive-In,Kennewick,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305485,85
Regal Columbia Center 8,Kennewick,WA,,,West,Venue,,,http://www.regalcinemas.com,WikidataSPARQL,wd-Q43305705,90
Roxy Theatre,Kennewick,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305706,85
South Hills Church,Kennewick,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fsouth-hills-church-tickets-kennewick%2Fvenue%2F123941&utm_medium=affiliate,Ticketmaster,tmv-KovZ917AN_n,80
Southgate 10,Kennewick,WA,,,West,Venue,,,http://www.fairchildcinemas.com/showtimes_468609/tickets_468609.htm,WikidataSPARQL,wd-Q88292868,90
Summers Hub of Kennewick,Kennewick,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZaAOf,75
Three Rivers Convention Center,Kennewick,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/8111v.gif,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fthree-rivers-convention-center-tickets-kennewick%2Fvenue%2F123684&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAJEtdA,80
Toyota Arena Kennewick,Kennewick,WA,,,West,Arena,,https://s1.ticketm.net/dbimages/8112v.gif,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Ftoyota-arena-kennewick-tickets-kennewick%2Fvenue%2F123692&utm_medium=affiliate,Ticketmaster,tmv-KovZpa4Yme,80
Toyota Center Kennewick,Kennewick,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/23295v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Ftoyota-center-kennewick-tickets-kennewick%2Fvenue%2F122920&utm_medium=affiliate,Ticketmaster,tmv-KovZpa34pe,80
Tri-Cities Calvary Chapel,Kennewick,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Ftricities-calvary-chapel-tickets-kennewick%2Fvenue%2F123953&utm_medium=affiliate,Ticketmaster,tmv-KovZ917ANcV,80
accesso ShoWare Center,Kent,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Faccesso-showare-center-tickets-kent%2Fvenue%2F123819&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAJvdEA,80
AMC Kent Station 14,Kent,WA,,,West,Venue,,,https://www.amctheatres.com/movie-theatres/seattle-tacoma/amc-kent-station-14,WikidataSPARQL,wd-Q43305707,90
El Parral,Kent,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketweb.com%2Fvenue%2Fel-parral-kent-wa%2F748294&utm_medium=affiliate,Ticketmaster,tmv-rZ7HnEZ17qF1f,80
El Rancho Drive-In,Kent,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305487,85
Kent 6 Cinemas,Kent,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305708,85
Kent Theatre,Kent,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305709,85
Kent Vineyard,Kent,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZaAXo,75
Kent-Meridian Performing Arts Center,Kent,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZa7Zr,75
Pacific Raceways,Kent,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/6574v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fpacific-raceways-tickets-kent%2Fvenue%2F122992&utm_medium=affiliate,Ticketmaster,tmv-ZFr9jZkvvv,80
River Of Life Fellowship,Kent,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketweb.com%2Fvenue%2Friver-of-life-fellowship-kent-wa%2F512105&utm_medium=affiliate,Ticketmaster,tmv-rZ7HnEZ17f37A,80
ShoWare Center,Kent,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fshoware-center-tickets-kent%2Fvenue%2F339743&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAktAaA,80
Spoken Image Destiny Center,Kent,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fspoken-image-destiny-center-tickets-kent%2Fvenue%2F123433&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1nvdA,80
Vale Theater,Kent,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305710,85
Naval Undersea Museum,Keyport,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/Naval%20Undersea%20Museum.jpg,http://www.navalunderseamuseum.org/,WikidataSPARQL,wd-Q6981963,90
The Firehouse Theater,Kingston,WA,,,West,Theatre,,,http://www.kingstonfirehouse.com/,WikidataSPARQL,wd-Q78908795,90
White Horse Golf Club,Kingston,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fwhite-horse-golf-club-tickets-kingston%2Fvenue%2F123916&utm_medium=affiliate,Ticketmaster,tmv-KovZ917AOpG,80
Gateway Theatre,Kirkland,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305711,85
Kirkland Parkplace Cinema 6,Kirkland,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305712,85
Kirkland Performance Center,Kirkland,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/Kirkland%20Performance%20Center%2002.jpg,https://www.kpcenter.org/,Ticketmaster;WikidataSPARQL,tmv-ZFr9jZk167,90
Shark Club,Kirkland,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fshark-club-tickets-kirkland%2Fvenue%2F123308&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1tJEA,80
Totem Lake Cinemas,Kirkland,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305714,85
Appleton Log Hall,Klickitat County,WA,,,West,Hall,,http://commons.wikimedia.org/wiki/Special:FilePath/Appleton%20Log%20Hall%201%20-%20Appleton%20Washington.jpg,,WikidataSPARQL,wd-Q4781401,85
Museum of Northwest Art,La Conner,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/MoNA.jpg,https://www.museumofnwart.org/,WikidataSPARQL,wd-Q2840198,90
Lacey Drive-In,Lacey,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305490,85
Martin Village 16,Lacey,WA,,,West,Venue,,,http://www.regalcinemas.com,WikidataSPARQL,wd-Q43305715,90
South Sound Stadium,Lacey,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fsouth-sound-stadium-tickets-lacey%2Fvenue%2F123901&utm_medium=affiliate,Ticketmaster,tmv-KovZ917AhRe,80
The Hub at Lacey,Lacey,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fthe-hub-at-lacey-tickets-lacey%2Fvenue%2F123906&utm_medium=affiliate,Ticketmaster,tmv-KovZ917ALbf,80
Thurston County Fairgrounds,Lacey,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZaA_V,75
Timberline High School,Lacey,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Ftimberline-high-school-tickets-lacey%2Fvenue%2F123903&utm_medium=affiliate,Ticketmaster,tmv-KovZ917AhYJ,80
Park-In Drive-In,Lakeview,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305494,85
AMC Loews Lakewood Towne Center 12,Lakewood,WA,,,West,Venue,,,https://www.amctheatres.com/movie-theatres/seattle-tacoma/amc-lakewood-mall-12,WikidataSPARQL,wd-Q43305716,90
Clover Park Technical College,Lakewood,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZa7vq,75
Great American Casino,Lakewood,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fgreat-american-casino-tickets-lakewood%2Fvenue%2F123515&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAaIE1A,80
Lakewood Theatre,Lakewood,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305718,85
Maggie Otooles Nightclub,Lakewood,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fmaggie-otooles-nightclub-tickets-lakewood%2Fvenue%2F123629&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA11E1A,80
McGavick Conference Center,Lakewood,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fmcgavick-conference-center-tickets-lakewood%2Fvenue%2F123926&utm_medium=affiliate,Ticketmaster,tmv-KovZ917AOnX,80
Pierce College Fort Steilacoom Campus,Lakewood,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fpierce-college-fort-steilacoom-campus-tickets-lakewood%2Fvenue%2F123426&utm_medium=affiliate,Ticketmaster,tmv-KovZpa3y3e,80
Regal Lakewood Stadium 15,Lakewood,WA,,,West,Venue,,,http://www.regalcinemas.com,WikidataSPARQL,wd-Q43305719,90
Tacoma Speedway,Lakewood,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/Tacoma%20Speedway%2004-07-1922%20.jpg,,WikidataSPARQL,wd-Q7674014,85
Villa Plaza 1-2-3,Lakewood,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305721,85
Clyde Theatre,Langley,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Langley%2C%20WA%20-%20Clyde%20Theatre%2001.jpg,http://www.theclyde.net,WikidataSPARQL,wd-Q43305394,90
Clyde Theatre-WA,Langley,WA,,,West,Theatre,,,,Ticketmaster,tmv-Z7r9jZa7JE,75
Grünewald Guild Residency,Leavenworth,WA,,,West,Venue,,,https://grunewaldguild.com/,WikidataSPARQL,wd-Q117705832,90
Leavenworth Festhalle,Leavenworth,WA,,,West,Hall,,,,Ticketmaster,tmv-Z7r9jZaAlw,75
"Burlington Northern Railroad Depot (Chehalis, Washington)",Lewis County,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/Burlington%20Northern%20Depot%2C%20Chehalis%2001.webp,https://lewiscountymuseum.org/,WikidataSPARQL,wd-Q134127636,90
Longmire Community Building,Lewis County,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/Longmire%20Community%20Building%20%282015%29%2C%2002.jpg,,WikidataSPARQL,wd-Q97068094,85
Ohanapecosh Campground Amphitheater,Lewis County,WA,,,West,Amphitheatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Ohanapecosh%202018-05-23%20%2840521571830%29.jpg,,WikidataSPARQL,wd-Q96137900,85
Ohanapecosh Visitor Center,Lewis County,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/Ohanapecosh%20Visitor%20Center%20%282021-09-04%29%2C%2002.jpg,https://www.nps.gov/mora/planyourvisit/ohanapecosh.htm,WikidataSPARQL,wd-Q36973851,90
Empire Theater,Lind,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305722,85
Neptune Twin Theatre,Long Beach,WA,,,West,Theatre,,,http://www.neptunetwin.com,WikidataSPARQL,wd-Q43305723,90
Columbia Theatre for Performing Arts,Longview,WA,,,West,Theatre,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fcolumbia-theatre-for-performing-arts-tickets-longview%2Fvenue%2F123237&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1kaIA,80
Columbia Theatre for the Performing Arts,Longview,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Columbia%20Theater%20-%20Longview%20Washington.jpg,http://www.columbiatheatre.com,WikidataSPARQL,wd-Q43305255,90
Cowlitz County Expo Center,Longview,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fcowlitz-county-expo-center-tickets-longview%2Fvenue%2F123360&utm_medium=affiliate,Ticketmaster,tmv-KovZpa98pe,80
Cowlitz County Fairgrounds,Longview,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZaA-K,75
David Story Field,Longview,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZa79K,75
Longview Community Church-Saint Helen's Addition,Longview,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/Former%20Longview%20Community%20Church-Saint%20Helen%27s%20Addition%2004.jpg,,WikidataSPARQL,wd-Q14709050,85
Longview Theater,Longview,WA,,,West,Theatre,,,https://www.stageworksnorthwest.com/,WikidataSPARQL,wd-Q43305724,90
Longview Women's Clubhouse,Longview,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/Longview%20Women%27s%20Clubhouse%2003.jpg,,WikidataSPARQL,wd-Q124818739,85
Regal Triangle 4,Longview,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305725,85
Roxy Theatre,Longview,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305726,85
Your Twin Drive-In,Longview,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305495,85
Koplin Del Rio Gallery,Los Angeles,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q135529462,85
Liberty Theatre,Lynden,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305728,85
Lynden Fairgrounds,Lynden,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Flynden-fairgrounds-tickets-lynden%2Fvenue%2F123873&utm_medium=affiliate,Ticketmaster,tmv-KovZ917A5oV,80
North County Christ the King,Lynden,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZadqQ,75
Northwest Washington Fair,Lynden,WA,,,West,Venue,,,,Ticketmaster,tmv-ZFr9jZFdek,75
Northwest Washington Fair & Event Center - WECU Expo,Lynden,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fnorthwest-washington-fair-event-center-wecu-tickets-lynden%2Fvenue%2F124036&utm_medium=affiliate,Ticketmaster,tmv-KovZ917Acnb,80
Word of Life Church,Lynden,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fword-of-life-church-tickets-lynden%2Fvenue%2F123223&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1lJJA,80
Alderwood Community Church,Lynnwood,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketweb.com%2Fvenue%2Falderwood-community-church-lynnwood-wa%2F501205&utm_medium=affiliate,Ticketmaster,tmv-rZ7HnEZ17fvFA,80
Alderwood Stadium 7,Lynnwood,WA,,,West,Venue,,,http://www.REGmovies.com,WikidataSPARQL,wd-Q43305730,90
AMC Loews Alderwood Mall 16,Lynnwood,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/Loewslynnwood.jpg,https://www.amctheatres.com/movie-theatres/seattle-tacoma/amc-alderwood-mall-16,WikidataSPARQL,wd-Q43305396,90
Club Hektic,Lynnwood,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZaAjx,75
Edmonds Community College,Lynnwood,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fedmonds-community-college-tickets-lynnwood%2Fvenue%2F122933&utm_medium=affiliate,Ticketmaster,tmv-KovZpa9_me,80
Embassy Suites,Lynnwood,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fembassy-suites-tickets-lynnwood%2Fvenue%2F123200&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAaIEeA,80
Grand Cinemas,Lynnwood,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305732,85
Lynn 4 Theatre,Lynnwood,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305733,85
Northwest Veterans Museum,Lynnwood,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q131324760,85
Sno-King Drive-In,Lynnwood,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305497,85
Vessel Taphouse - WA,Lynnwood,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZaA_6,75
Liberty Theater,Mabton,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305734,85
12 Tribes Lake Chelan Casino,Manson,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2F12-tribes-lake-chelan-casino-tickets-manson%2Fvenue%2F123878&utm_medium=affiliate,Ticketmaster,tmv-KovZ917AC_0,80
12 Tribes Lake Chelan Casino Amphitheater,Manson,WA,,,West,Amphitheatre,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2F12-tribes-lake-chelan-casino-amphitheater-tickets-manson%2Fvenue%2F123818&utm_medium=affiliate,Ticketmaster,tmv-KovZpa4sGe,80
Deep Water Amphitheater,Manson,WA,,,West,Amphitheatre,,,,Ticketmaster,tmv-ZFr9jZ16ed,75
The Heat Nightclub at 12 Tribes Lake Chelan Casino,Manson,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fthe-heat-nightclub-at-12-tribes-tickets-manson%2Fvenue%2F123995&utm_medium=affiliate,Ticketmaster,tmv-KovZ917AEMj,80
North Cascades National Park Wilderness Information Center,Marblemount,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q68486497,85
Maryhill Museum of Art,Maryhill,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/MaryhillMuseumFront.jpg,http://www.maryhillmuseum.org,WikidataSPARQL,wd-Q6781199,90
Marysville Opera House,Marysville,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/Marysville%20Opera%20House%20exterior.jpg,,WikidataSPARQL,wd-Q6781770,85
Marysville Twin Cinema,Marysville,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305735,85
Regal Marysville 14,Marysville,WA,,,West,Venue,,,http://www.regalcinemas.com,WikidataSPARQL,wd-Q43305736,90
Thunderbird Drive-In,Marysville,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305499,85
Schafer State Park Interpretive Center,Mason County,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q99198761,85
Killarney Mountain Lodge & Conference Centre,Mattawa,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q112619503,85
Martyn & Sloan Mattawa Chapel,Mattawa,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q113977196,85
Our Next Chapter,Mattawa,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q113977231,85
Works Like A Dream,Mattawa,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q112617573,85
McCleary Theater,McCleary,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305738,85
"St. Mary's Church (McGowan, Washington)",McGowan,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/St.%20Mary%27s%20Catholic%20Church%20McGowan%2C%20Washington.jpg,,WikidataSPARQL,wd-Q60020661,85
St Thomas Episcopal Church,Medina,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fst-thomas-episcopal-church-tickets-medina%2Fvenue%2F123440&utm_medium=affiliate,Ticketmaster,tmv-KovZpa6QJe,80
Mercer Island Historical Society,Mercer Island,WA,,,West,Venue,,,http://www.mihistory.org,WikidataSPARQL,wd-Q6818288,90
Basin City Arena,Mesa,WA,,,West,Arena,,,,Ticketmaster,tmv-Z7r9jZaAFj,75
Nuvu Movie Theater,Metaline Falls,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305739,85
Gold Creek Community Church,Mill Creek,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fgold-creek-community-church-tickets-mill-creek%2Fvenue%2F123949&utm_medium=affiliate,Ticketmaster,tmv-KovZ917ANNO,80
Mothership,Milton,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fmothership-tickets-milton%2Fvenue%2F123148&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA11l6A,80
Mineral School,Mineral,WA,,,West,Venue,,,https://mineral-school.org/,WikidataSPARQL,wd-Q117705433,90
Cascade Community Church,Monroe,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketweb.com%2Fvenue%2Fcascade-community-church-monroe-wa%2F664813&utm_medium=affiliate,Ticketmaster,tmv-rZ7HnEZ17_0OK,80
Evergreen Speedway,Monroe,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/6569v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fevergreen-speedway-tickets-monroe%2Fvenue%2F122940&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAFFJvA,80
Evergreen State Fair,Monroe,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/10421v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fevergreen-state-fair-tickets-monroe%2Fvenue%2F122941&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAdJn6A,80
Galaxy Monroe,Monroe,WA,,,West,Venue,,,https://www.galaxytheatres.com/Browsing/Cinemas/Compare?Cinemas=3,WikidataSPARQL,wd-Q43305740,90
Montesano Theater,Montesano,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Montesano%2C%20WA%20-%20Oddfellows%20Building%2001.jpg,,WikidataSPARQL,wd-Q43305398,85
Roxy Theatre,Morton,WA,,,West,Theatre,,,http://www.mortonroxy.org,WikidataSPARQL,wd-Q43305741,90
Fairchild Cinemas,Moses Lake,WA,,,West,Venue,,,http://www.fairchildcinemas.com,WikidataSPARQL,wd-Q43305742,90
Grant County Fairgrounds,Moses Lake,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fgrant-county-fairgrounds-tickets-moses-lake%2Fvenue%2F122947&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA11nlA,80
Lake Cinema 4,Moses Lake,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305744,85
G Theatre,Mossyrock,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/G%20Theatre.jpg,,WikidataSPARQL,wd-Q43305745,85
Lido Theater,Mount Vernon,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305746,85
Lincoln Theatre,Mount Vernon,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Lincoln%20Theatr%20Front.jpg,http://www.lincolntheatre.org,WikidataSPARQL,wd-Q43305287,90
Lincoln Theatre - WA,Mount Vernon,WA,,,West,Theatre,,,,Ticketmaster,tmv-ZFr9jZ6Ad6,75
McIntyre Hall,Mount Vernon,WA,,,West,Hall,,,,Ticketmaster,tmv-ZFr9jZFvaa,75
Skagit Drive-In,Mount Vernon,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305503,85
Cinebarre Mountlake Terrace,Mountlake Terrace,WA,,,West,Venue,,,http://www.cinebarre.com,WikidataSPARQL,wd-Q43305747,90
Mountlake Terrace Performing Arts Center,Mountlake Terrace,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fmountlake-terrace-performing-arts-center-tickets-mountlake-terrace%2Fvenue%2F123567&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1J7lA,80
Skagit County Fairgrounds,Mt Vernon,WA,,,West,Venue,,,,Ticketmaster,tmv-Z7r9jZaAB7,75
Napavine Amphitheater,Napavine,WA,,,West,Amphitheatre,,,,Ticketmaster,tmv-ZFr9jZkede,75
North Cascades National Park Visitor Center,Newhalem,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/North%20Cascades%20National%20Park%20Visitor%20Center%2001.jpg,,WikidataSPARQL,wd-Q36681268,85
Roxy Theater,Newport,WA,,,West,Theatre,,,http://www.newportroxy.com,WikidataSPARQL,wd-Q43305748,90
North Bend Theatre,North Bend,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/North%20Bend%2C%20WA%20-%20movie%20theater.jpg,http://www.northbendtheatre.com,Ticketmaster;WikidataSPARQL,tmv-Z7r9jZaAih,90
Blue Fox Drive-In,Oak Harbor,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fblue-fox-drivein-tickets-oak-harbor%2Fvenue%2F123965&utm_medium=affiliate,Ticketmaster;WikidataSPARQL,tmv-KovZ917A0kn,90
Oak Harbor Cinemas,Oak Harbor,WA,,,West,Venue,,,http://www.farawayentertainment.com,WikidataSPARQL,wd-Q43305749,90
Old Town Cinema,Oak Harbor,WA,,,West,Venue,,,,WikidataSPARQL,wd-Q43305750,85
Skywarrior Theater,Oak Harbor,WA,,,West,Theatre,,,http://www.navylifepnw.com/site/80/Skywarrior-Theater.aspx,WikidataSPARQL,wd-Q43305752,90
"St. Stephen's Episcopal Church (Oak Harbor, Washington)",Oak Harbor,WA,,,West,Venue,,http://commons.wikimedia.org/wiki/Special:FilePath/St.%20Stephen%E2%80%99s%20Episcopal%20Church%2C%20Oak%20Harbor%2C%20Washington%2007.jpg,,WikidataSPARQL,wd-Q129572025,85
McCoy Valley Museum,Oakesdale,WA,,,West,Venue,,,http://www.oakesdalemuseum.com/,WikidataSPARQL,wd-Q113488678,90
Oakville Theatre,Oakville,WA,,,West,Theatre,,,,WikidataSPARQL,wd-Q43305754,85
Ocean Shores Cinemas,Ocean Shores,WA,,,West,Venue,,,http://www.farawayentertainment.com,WikidataSPARQL,wd-Q43305755,90
