Venue Name,City,State,Capacity,Age Restrictions,Region,Venue Type,Genres (top 3),Image,Website,Social Links,Source(s),Venue ID,Confidence
Narrows Theater,Tacoma,WA,,,West,Theatre,,,http://www.tmp.org,,WikidataSPARQL,wd-Q43306979,95
Paramount Theater,Tacoma,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306980,92
Park Theatre,Tacoma,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306982,92
Parkland Theater,Tacoma,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306983,92
Realart Theatre,Tacoma,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306984,92
Rex Theatre,Tacoma,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306986,92
Riviera Theatre,Tacoma,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43306988,92
Egyptian Theater,Seattle,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Seattle%20-%20Egyptian%20Theater%2002%20%28cropped%29.jpg,,,WikidataSPARQL,wd-Q131038502,92
Cordova Theatre,Pullman,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Cordova%20Theater%20-%20Pullman%2C%20WA.jpg,,,WikidataSPARQL,wd-Q5170055,92
Raymond Theatre,Raymond,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Raymond%2C%20WA%20-%20Raymond%20Theatre%20-%2003.jpg,http://www.raymondtheater.org,,WikidataSPARQL,wd-Q7299181,95
Ruby Theatre,Chelan,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Chelan%2C%20WA%20-%20Ruby%20Theatre%2001.jpg,http://www.rubytheatre.com,,WikidataSPARQL,wd-Q7376397,95
Rose Theatre,Colfax,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Colfax%2C%20WA%20-%20Rose%20Theater.jpg,,,WikidataSPARQL,wd-Q43305254,92
Chalet Theatre,Enumclaw,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Enumclaw%2C%20WA%20-%20Chalet%20Theatre%2001.jpg,https://chalettheatre.com/,,WikidataSPARQL,wd-Q43305271,95
Olympic Theatre,Arlington,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Olympic%20Theatre%2C%20Arlington%2C%20WA.jpg,,,WikidataSPARQL,wd-Q43305299,92
Rose Theatre,Port Townsend,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Port%20Townsend%20-%20Rose%20Theatre%20%26%20Elks%20Building%2001.jpg,http://www.rosetheatre.com,,WikidataSPARQL,wd-Q43305309,95
Ritz Theatre,Ritzville,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Ritzville%2C%20WA%20-%20Ritz%20Theatre%2005.jpg,,https://facebook.com/RitzvilleRitz,WikidataSPARQL,wd-Q43305349,92
Liberty Theatre,Wenatchee,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Wenatchee%2C%20WA%20-%20Liberty%20Theatre%2002A.jpg,http://www.ncwmovies.com,,WikidataSPARQL,wd-Q43305380,95
Edmonds Theater,Edmonds,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Edmonds%20WA%20Theater%2001.jpg,http://www.theedmondstheater.com,,WikidataSPARQL,wd-Q43305381,95
Clyde Theatre,Langley,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Langley%2C%20WA%20-%20Clyde%20Theatre%2001.jpg,http://www.theclyde.net,,WikidataSPARQL,wd-Q43305394,95
Liberty Theatre,Camas,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Liberty%20Theatre%20in%20Camas%2C%20Washington.jpg,http://www.camasliberty.com,,WikidataSPARQL,wd-Q43305395,95
Omak Theater,Omak,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Omak%20Theater%2001.jpg,http://www.omaktheater.com,,WikidataSPARQL,wd-Q43305399,95
Mirage Theatre,Omak,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Omak%2C%20WA%20-%20Mirage%20Theatre%2001.jpg,http://www.omaktheater.com,,WikidataSPARQL,wd-Q43305402,95
Audian Theatre,Pullman,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Pullman%2C%20WA%20-%20Audian%20Theatre%2001.jpg,,,WikidataSPARQL,wd-Q43305403,92
Snohomish Theatre,Snohomish,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Snohomish%2C%20WA%20-%201003%20First%20Street%2001.jpg,,,WikidataSPARQL,wd-Q43305405,92
Vashon Theatre,Vashon,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Vashon%20Theatre%2001.jpg,http://www.vashontheater.com,,WikidataSPARQL,wd-Q43305412,95
Woodland Theatre,Woodland,WA,,,West,Theatre,,http://commons.wikimedia.org/wiki/Special:FilePath/Woodland%2C%20WA%20-%20Woodland%20Theater%2002.jpg,,,WikidataSPARQL,wd-Q43305413,92
Seavue Theater,Blaine,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305593,92
Caribou Theatre,Brewster,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305616,92
Rio Theatre,Brewster,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305618,92
Cosmo Theater,Buckley,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305620,92
Vale Theatre,Cashmere,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305626,92
Mount St. Helens Cinedome,Castle Rock,WA,,,West,Venue,,,,,WikidataSPARQL,wd-Q43305627,92
Pix Theatre,Cheney,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305633,92
Clarkston Auto Theatre,Clarkston,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305635,92
Pix Theatre,Clarkston,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305636,92
Vogue Theatre,Cle Elum,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305637,92
Sunset Theatre,Connell,WA,,,West,Theatre,,,http://www.sunsettheatre.com,,WikidataSPARQL,wd-Q43305640,95
Lee Theatre,Coulee City,WA,,,West,Theatre,,,,,WikidataSPARQL,wd-Q43305641,92
