Venue Name,City,State,Capacity,Age Restrictions,Region,Venue Type,Genres (top 3),Image,Website,Source(s),Venue ID,Confidence
Ilani Cowlitz Ballroom,Ridgefield,WA,,,West,Ballroom,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Filani-cowlitz-ballroom-tickets-ridgefield%2Fvenue%2F123895&utm_medium=affiliate,Ticketmaster,tmv-KovZ917Ah8z,80
Cascades Amphitheater,Ridgefield,WA,,,West,Amphitheatre,,https://s1.ticketm.net/dbimages/24039v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fcascades-amphitheater-tickets-ridgefield%2Fvenue%2F123505&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAJld6A,80
Remlinger Farms,Carnation,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/22680v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fremlinger-farms-tickets-carnation%2Fvenue%2F124019&utm_medium=affiliate,Ticketmaster,tmv-KovZ917AioZ,80
Muckleshoot Casino Events Center,Auburn,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fmuckleshoot-casino-events-center-tickets-auburn%2Fvenue%2F123987&utm_medium=affiliate,Ticketmaster,tmv-KovZ917AJEj,80
Tulalip Amphitheatre,Tulalip,WA,,,West,Amphitheatre,,https://s1.ticketm.net/dbimages/8870v.gif,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Ftulalip-amphitheatre-tickets-tulalip%2Fvenue%2F123611&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAaaEvA,80
Chateau Ste Michelle Winery,Woodinville,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/22711v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fchateau-ste-michelle-winery-tickets-woodinville%2Fvenue%2F122914&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAFkkJA,80
Legends Casino Event Center,Toppenish,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Flegends-casino-event-center-tickets-toppenish%2Fvenue%2F123450&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAFFEeA,80
KeyArena,Seattle,WA,,,West,Arena,,https://s1.ticketm.net/dbimages/8749v.gif,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fkeyarena-tickets-seattle%2Fvenue%2F122918&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAJdt1A,80
Temple Theatre,Tacoma,WA,,,West,Theatre,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Ftemple-theatre-tickets-tacoma%2Fvenue%2F123000&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAFkvtA,80
Cheney Stadium,Tacoma,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/18600v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fcheney-stadium-tickets-tacoma%2Fvenue%2F122916&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAJeE1A,80
Tulalip Resort Casino,Tulalip,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/13835v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Ftulalip-resort-casino-tickets-tulalip%2Fvenue%2F123758&utm_medium=affiliate,Ticketmaster,tmv-KovZpa3pFe,80
Lumen Field Stadium Tours,Seattle,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Flumen-field-stadium-tours-tickets-seattle%2Fvenue%2F123927&utm_medium=affiliate,Ticketmaster,tmv-KovZ917A-qB,80
Marymoor Live - Presented By Toyota,Redmond,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/23148v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fmarymoor-live-presented-by-toyota-tickets-redmond%2Fvenue%2F123155&utm_medium=affiliate,Ticketmaster,tmv-KovZpa3qwe,80
Suquamish Clearwater Casino Event Center,Suquamish,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/23249v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fsuquamish-clearwater-casino-event-center-tickets-suquamish%2Fvenue%2F123122&utm_medium=affiliate,Ticketmaster,tmv-KovZpaFH0e,80
Galaxy at Muckleshoot Casino Resort,Auburn,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fgalaxy-at-muckleshoot-casino-resort-tickets-auburn%2Fvenue%2F124054&utm_medium=affiliate,Ticketmaster,tmv-KovZ917Amu7,80
Skagit Valley Casino Pacific Showroom,Bow,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/19943v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fskagit-valley-casino-pacific-showroom-tickets-bow%2Fvenue%2F123497&utm_medium=affiliate,Ticketmaster,tmv-KovZpa3r8e,80
APEX Everett,Everett,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/24109v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fapex-everett-tickets-everett%2Fvenue%2F124055&utm_medium=affiliate,Ticketmaster,tmv-KovZ917Am28,80
Alaska Airlines Arena at Hec Edmundson Pavilion,Seattle,WA,,,West,Arena,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Falaska-airlines-arena-at-hec-edmundson-tickets-seattle%2Fvenue%2F122951&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAFkkIA,80
Rialto Theater,Tacoma,WA,,,West,Theatre,,https://s1.ticketm.net/dbimages/23599v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Frialto-theater-tickets-tacoma%2Fvenue%2F122988&utm_medium=affiliate,Ticketmaster,tmv-KovZpa3zee,80
T-Mobile Park,Seattle,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Ftmobile-park-tickets-seattle%2Fvenue%2F123209&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAEevAA,80
Theatre On the Square,Tacoma,WA,,,West,Theatre,,https://s1.ticketm.net/dbimages/23604v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Ftheatre-on-the-square-tickets-tacoma%2Fvenue%2F123274&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1tlaA,80
Suquamish Clearwater Beach Rock Music & Sports Lounge,Suquamish,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/23250v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fsuquamish-clearwater-beach-rock-music-sports-tickets-suquamish%2Fvenue%2F123910&utm_medium=affiliate,Ticketmaster,tmv-KovZ917ALUH,80
Showbox at The Market,Seattle,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fshowbox-at-the-market-tickets-seattle%2Fvenue%2F123850&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAEknlA,80
Suquamish Clearwater Resort Lawn,Suquamish,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/23260v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fsuquamish-clearwater-resort-lawn-tickets-suquamish%2Fvenue%2F123986&utm_medium=affiliate,Ticketmaster,tmv-KovZ917AJ9V,80
The Crocodile,Seattle,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/9592v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fthe-crocodile-tickets-seattle%2Fvenue%2F123027&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1vFtA,80
Neumos,Seattle,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/6489v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fneumos-tickets-seattle%2Fvenue%2F123537&utm_medium=affiliate,Ticketmaster,tmv-KovZpappxe,80
Toyota Arena Kennewick,Kennewick,WA,,,West,Arena,,https://s1.ticketm.net/dbimages/8112v.gif,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Ftoyota-arena-kennewick-tickets-kennewick%2Fvenue%2F123692&utm_medium=affiliate,Ticketmaster,tmv-KovZpa4Yme,80
Greater Tacoma Convention Center,Tacoma,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/19442v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fgreater-tacoma-convention-center-tickets-tacoma%2Fvenue%2F123559&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAJ7knA,80
T-Mobile Park Stadium Tours,Seattle,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Ftmobile-park-stadium-tours-tickets-seattle%2Fvenue%2F123441&utm_medium=affiliate,Ticketmaster,tmv-KovZpa34Xe,80
Triple Door,Seattle,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/6509v.jpg,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Ftriple-door-tickets-seattle%2Fvenue%2F123636&utm_medium=affiliate,Ticketmaster,tmv-KovZpZA1ekJA,80
Seattle University Championship Field,Seattle,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fseattle-university-championship-field-tickets-seattle%2Fvenue%2F123761&utm_medium=affiliate,Ticketmaster,tmv-KovZpap9He,80
Chop Suey,Seattle,WA,,,West,Venue,,https://s1.ticketm.net/dbimages/8581v.gif,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fchop-suey-tickets-seattle%2Fvenue%2F123424&utm_medium=affiliate,Ticketmaster,tmv-KovZpZAaIEFA,80
Washington Hall,Seattle,WA,,,West,Hall,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fwashington-hall-tickets-seattle%2Fvenue%2F123983&utm_medium=affiliate,Ticketmaster,tmv-KovZ917AJaF,80
Fremont Abbey,Seattle,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Ffremont-abbey-tickets-seattle%2Fvenue%2F123884&utm_medium=affiliate,Ticketmaster,tmv-KovZ917A2w0,80
Barboza,Seattle,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fbarboza-tickets-seattle%2Fvenue%2F123889&utm_medium=affiliate,Ticketmaster,tmv-KovZ917A3zf,80
Martin Woldson Theater at the Fox,Spokane,WA,,,West,Theatre,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fmartin-woldson-theater-at-the-fox-tickets-spokane%2Fvenue%2F123874&utm_medium=affiliate,Ticketmaster,tmv-KovZ917A53V,80
The Podium,Spokane,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fthe-podium-tickets-spokane%2Fvenue%2F124002&utm_medium=affiliate,Ticketmaster,tmv-KovZ917AIrG,80
Washington State Convention Center,Seattle,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fwashington-state-convention-center-tickets-seattle%2Fvenue%2F123908&utm_medium=affiliate,Ticketmaster,tmv-KovZ917ALLe,80
FarmJam,Colville,WA,,,West,Venue,,,https://ticketmaster.evyy.net/c/venueaffiliate12345/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Ffarmjam-tickets-colville%2Fvenue%2F123954&utm_medium=affiliate,Ticketmaster,tmv-KovZ917ANVi,80
